Region,Country,Pre-2007,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 (partial),Operational but Unknown Year,Total 2007-2023
Africa,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,20,0,0,66
Africa,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
Africa,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
Africa,Senegal,0,0,0,0,0,0,0,0,0,0,42,55,50,0,0,70,23,0,0,240
Africa,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
Africa,South Africa,0,0,0,0,0,0,0,95,945,130,511,258,200,86,544,180,50,30,86,3115
Africa,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50
Africa,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,20,50
Africa,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24
Africa,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,350,0,455
